name	x	y	z	size	material
RF2Ix8	n/a	n/a	n/a	n/a	platinum-iridium
RF2Ix9	n/a	n/a	n/a	n/a	platinum-iridium
RF2Ix10	n/a	n/a	n/a	n/a	platinum-iridium
RF2Ix11	n/a	n/a	n/a	n/a	platinum-iridium
RF2Ix12	n/a	n/a	n/a	n/a	platinum-iridium
RF2Ix13	n/a	n/a	n/a	n/a	platinum-iridium
RF2Ix14	n/a	n/a	n/a	n/a	platinum-iridium
RF2Ix15	n/a	n/a	n/a	n/a	platinum-iridium
RF2Ix16	n/a	n/a	n/a	n/a	platinum-iridium
RF1aCaOF1	n/a	n/a	n/a	n/a	platinum-iridium
RF1aCaOF2	n/a	n/a	n/a	n/a	platinum-iridium
RF1aCaOF3	n/a	n/a	n/a	n/a	platinum-iridium
RF1aCaOF4	n/a	n/a	n/a	n/a	platinum-iridium
RF1aCaOF5	n/a	n/a	n/a	n/a	platinum-iridium
RF1aCaOF6	n/a	n/a	n/a	n/a	platinum-iridium
RF1aCaOF7	n/a	n/a	n/a	n/a	platinum-iridium
RF1aCaOF8	n/a	n/a	n/a	n/a	platinum-iridium
RF1aCaOF9	n/a	n/a	n/a	n/a	platinum-iridium
RF1aCaOF10	n/a	n/a	n/a	n/a	platinum-iridium
RF1aCaOF11	n/a	n/a	n/a	n/a	platinum-iridium
RF1aCaOF12	n/a	n/a	n/a	n/a	platinum-iridium
RF1aCaOF13	n/a	n/a	n/a	n/a	platinum-iridium
RF1aCaOF14	n/a	n/a	n/a	n/a	platinum-iridium
RF1aCaOF15	n/a	n/a	n/a	n/a	platinum-iridium
RF1aCaOF16	n/a	n/a	n/a	n/a	platinum-iridium
RF1bCb1	n/a	n/a	n/a	n/a	platinum-iridium
RF1bCb2	n/a	n/a	n/a	n/a	platinum-iridium
RF1bCb3	n/a	n/a	n/a	n/a	platinum-iridium
RF1bCb4	n/a	n/a	n/a	n/a	platinum-iridium
RF1bCb5	n/a	n/a	n/a	n/a	platinum-iridium
RF1bCb6	n/a	n/a	n/a	n/a	platinum-iridium
RF1bCb7	n/a	n/a	n/a	n/a	platinum-iridium
RF1bCb8	n/a	n/a	n/a	n/a	platinum-iridium
RF1bCb9	n/a	n/a	n/a	n/a	platinum-iridium
RF1bCb10	n/a	n/a	n/a	n/a	platinum-iridium
RF1bCb11	n/a	n/a	n/a	n/a	platinum-iridium
RF1bCb12	n/a	n/a	n/a	n/a	platinum-iridium
DC10	n/a	n/a	n/a	n/a	platinum-iridium
DC4	n/a	n/a	n/a	n/a	platinum-iridium
